date;French food and drink;Nasa;Recycling;Waste;air travel;isPartial
2022-01-01;0;11;53;28;1;False
2022-01-02;0;8;83;38;3;False
2022-01-03;0;8;87;43;2;False
2022-01-04;0;8;65;47;2;False
2022-01-05;0;14;55;45;3;False
2022-01-06;0;8;45;39;3;False
2022-01-07;0;8;46;38;3;False
2022-01-08;0;15;49;30;3;False
2022-01-09;0;15;54;36;2;False
2022-01-10;0;6;45;42;4;False
2022-01-11;0;8;38;40;3;False
2022-01-12;0;6;42;42;3;False
2022-01-13;0;7;42;42;4;False
2022-01-14;0;6;35;38;4;False
2022-01-15;0;7;43;32;3;False
2022-01-16;1;6;48;34;3;False
2022-01-17;0;8;40;40;3;False
2022-01-18;0;21;38;38;3;False
2022-01-19;0;12;33;38;3;False
2022-01-20;0;6;32;35;2;False
2022-01-21;0;5;33;34;2;False
2022-01-22;0;8;39;29;2;False
2022-01-23;0;6;41;31;3;False
2022-01-24;0;9;36;47;4;False
2022-01-25;0;10;30;41;2;False
2022-01-26;0;8;34;37;3;False
2022-01-27;0;7;37;36;3;False
2022-01-28;0;6;35;33;2;False
2022-01-29;1;6;40;28;3;False
2022-01-30;0;19;38;31;3;False
2022-01-31;0;100;38;41;4;False
