date;Omnicom;Electric vehicles;Timor-Leste;Domestic violence;air travel;isPartial
2022-01-01;29;13;0;36;14;False
2022-01-02;14;16;0;35;41;False
2022-01-03;9;9;0;42;38;False
2022-01-04;11;12;0;45;44;False
2022-01-05;20;12;0;31;46;False
2022-01-06;11;24;0;44;37;False
2022-01-07;8;15;0;46;42;False
2022-01-08;8;6;0;28;44;False
2022-01-09;12;10;0;38;36;False
2022-01-10;11;17;0;57;59;False
2022-01-11;13;11;4;57;44;False
2022-01-12;11;17;0;50;48;False
2022-01-13;13;8;0;44;54;False
2022-01-14;9;8;0;30;52;False
2022-01-15;9;7;0;40;42;False
2022-01-16;0;10;0;30;47;False
2022-01-17;7;15;0;60;37;False
2022-01-18;6;8;0;52;41;False
2022-01-19;0;22;0;50;48;False
2022-01-20;11;18;9;40;34;False
2022-01-21;6;14;0;52;30;False
2022-01-22;4;17;0;30;29;False
2022-01-23;7;16;6;31;51;False
2022-01-24;30;20;0;54;55;False
2022-01-25;8;11;0;61;31;False
2022-01-26;8;19;0;48;42;False
2022-01-27;0;21;0;31;38;False
2022-01-28;9;5;5;42;38;False
2022-01-29;8;13;0;27;35;False
2022-01-30;3;7;3;100;47;False
2022-01-31;0;20;0;61;52;False
