date;global trade;brexit;trade;theranos trial;air travel;isPartial
2022-01-01;0;23;48;0;2;False
2022-01-02;1;20;60;0;4;False
2022-01-03;1;21;65;0;4;False
2022-01-04;1;23;79;2;4;False
2022-01-05;1;24;87;0;5;False
2022-01-06;0;23;82;0;4;False
2022-01-07;0;23;78;0;4;False
2022-01-08;1;21;62;0;5;False
2022-01-09;1;21;64;0;4;False
2022-01-10;1;23;95;0;7;False
2022-01-11;0;22;88;0;5;False
2022-01-12;0;22;81;0;5;False
2022-01-13;1;25;100;0;7;False
2022-01-14;0;21;71;0;6;False
2022-01-15;0;21;67;0;5;False
2022-01-16;0;19;73;0;5;False
2022-01-17;0;23;95;0;4;False
2022-01-18;1;21;82;0;4;False
2022-01-19;1;23;74;0;5;False
2022-01-20;1;21;85;0;4;False
2022-01-21;0;19;79;1;3;False
2022-01-22;0;18;62;2;4;False
2022-01-23;0;19;66;0;5;False
2022-01-24;1;26;98;0;7;False
2022-01-25;0;21;82;0;3;False
2022-01-26;1;22;84;0;4;False
2022-01-27;1;19;81;0;5;False
2022-01-28;0;18;85;0;3;False
2022-01-29;0;17;65;0;4;False
2022-01-30;1;18;62;0;5;False
2022-01-31;0;28;86;1;6;False
