date;Giuseppe Verdi;US small business;Denzel Washington;Michael B Jordan;air travel;isPartial
2022-01-01;0;8;35;9;12;False
2022-01-02;0;0;22;18;22;False
2022-01-03;0;0;20;10;18;False
2022-01-04;3;0;23;3;19;False
2022-01-05;0;0;12;10;27;False
2022-01-06;0;0;24;11;21;False
2022-01-07;0;0;100;7;22;False
2022-01-08;0;2;51;11;25;False
2022-01-09;0;3;27;15;19;False
2022-01-10;0;0;24;7;34;False
2022-01-11;0;0;18;6;28;False
2022-01-12;0;1;22;12;24;False
2022-01-13;0;0;17;12;35;False
2022-01-14;0;0;26;7;29;False
2022-01-15;5;0;47;15;23;False
2022-01-16;0;0;59;11;25;False
2022-01-17;0;0;28;5;23;False
2022-01-18;5;2;25;11;21;False
2022-01-19;0;0;18;19;26;False
2022-01-20;0;0;22;14;19;False
2022-01-21;0;0;33;18;13;False
2022-01-22;0;0;38;17;19;False
2022-01-23;0;0;21;10;24;False
2022-01-24;0;2;12;7;34;False
2022-01-25;5;0;16;8;17;False
2022-01-26;0;0;15;8;22;False
2022-01-27;6;0;14;8;25;False
2022-01-28;0;0;12;14;17;False
2022-01-29;0;2;18;17;21;False
2022-01-30;0;0;21;11;25;False
2022-01-31;0;0;15;8;29;False
