date;nato;royal air force;royal navy;mike pompeo;air travel;isPartial
2022-01-01;8;2;11;0;4;False
2022-01-02;8;2;13;1;7;False
2022-01-03;9;2;18;0;6;False
2022-01-04;8;2;16;0;6;False
2022-01-05;7;0;13;0;9;False
2022-01-06;10;2;14;1;7;False
2022-01-07;9;4;39;4;8;False
2022-01-08;12;3;20;2;8;False
2022-01-09;11;2;14;1;7;False
2022-01-10;18;1;18;0;12;False
2022-01-11;11;1;20;0;9;False
2022-01-12;18;2;15;1;8;False
2022-01-13;16;2;19;0;12;False
2022-01-14;14;2;13;0;10;False
2022-01-15;13;3;55;1;8;False
2022-01-16;11;2;24;1;9;False
2022-01-17;16;3;27;0;8;False
2022-01-18;17;3;21;0;7;False
2022-01-19;19;2;16;0;9;False
2022-01-20;29;3;20;0;6;False
2022-01-21;51;3;13;0;5;False
2022-01-22;37;2;16;0;6;False
2022-01-23;35;1;15;2;8;False
2022-01-24;100;3;27;1;12;False
2022-01-25;78;3;16;0;6;False
2022-01-26;83;1;16;0;8;False
2022-01-27;66;3;13;1;9;False
2022-01-28;61;2;10;0;6;False
2022-01-29;39;3;13;1;7;False
2022-01-30;51;2;16;0;9;False
2022-01-31;32;2;17;0;10;False
