date;Travel;Tottenham Hotspur;Texas;Poetry;air travel;isPartial
2022-01-01;61;3;9;2;0;False
2022-01-02;73;2;5;3;1;False
2022-01-03;77;1;5;2;1;False
2022-01-04;80;2;5;3;1;False
2022-01-05;99;2;5;3;1;False
2022-01-06;89;1;5;3;1;False
2022-01-07;87;2;5;3;1;False
2022-01-08;82;2;5;3;1;False
2022-01-09;82;4;5;3;1;False
2022-01-10;95;2;5;3;1;False
2022-01-11;82;2;4;3;1;False
2022-01-12;97;3;5;3;1;False
2022-01-13;100;2;4;3;1;False
2022-01-14;68;2;4;2;1;False
2022-01-15;77;2;7;2;1;False
2022-01-16;91;2;10;3;1;False
2022-01-17;81;1;7;3;1;False
2022-01-18;78;1;5;3;1;False
2022-01-19;77;2;5;3;1;False
2022-01-20;75;2;6;2;1;False
2022-01-21;67;1;7;2;0;False
2022-01-22;74;2;6;2;1;False
2022-01-23;86;2;5;3;1;False
2022-01-24;98;2;5;3;1;False
2022-01-25;85;2;5;4;1;False
2022-01-26;78;2;5;3;1;False
2022-01-27;81;2;5;3;1;False
2022-01-28;76;2;5;3;1;False
2022-01-29;74;2;5;2;1;False
2022-01-30;66;2;5;2;1;False
2022-01-31;90;3;4;3;1;False
