date;Bill Cosby;E.ON;Worcester holidays;Public transport trips;air travel;isPartial
2022-01-01;25;25;0;14;34;False
2022-01-02;12;31;0;0;63;False
2022-01-03;19;16;11;0;51;False
2022-01-04;16;54;7;6;54;False
2022-01-05;0;63;5;0;77;False
2022-01-06;13;54;0;0;61;False
2022-01-07;28;43;0;0;63;False
2022-01-08;7;21;0;0;71;False
2022-01-09;8;19;6;0;55;False
2022-01-10;10;37;8;0;97;False
2022-01-11;8;35;7;0;79;False
2022-01-12;11;39;12;0;67;False
2022-01-13;23;51;14;0;100;False
2022-01-14;13;38;0;0;84;False
2022-01-15;10;26;7;0;66;False
2022-01-16;0;26;15;0;72;False
2022-01-17;14;50;0;7;65;False
2022-01-18;0;37;0;0;59;False
2022-01-19;20;36;0;0;74;False
2022-01-20;16;39;4;0;54;False
2022-01-21;8;21;0;0;38;False
2022-01-22;6;24;5;0;53;False
2022-01-23;13;28;0;0;69;False
2022-01-24;0;35;6;0;97;False
2022-01-25;16;61;0;0;49;False
2022-01-26;6;38;0;0;64;False
2022-01-27;21;36;4;0;71;False
2022-01-28;9;42;0;0;49;False
2022-01-29;11;26;5;0;60;False
2022-01-30;18;16;0;0;71;False
2022-01-31;5;50;0;18;82;False
