date;Woodstock;London Bridge terror attack 2019;Miami Dolphins;Minnesota Vikings;air travel;isPartial
2022-01-01;67;0;20;0;31;False
2022-01-02;80;0;95;16;57;False
2022-01-03;54;5;33;32;46;False
2022-01-04;70;0;21;7;49;False
2022-01-05;73;0;17;5;69;False
2022-01-06;60;0;5;10;55;False
2022-01-07;50;0;14;7;57;False
2022-01-08;64;0;12;0;64;False
2022-01-09;86;0;47;21;50;False
2022-01-10;93;0;81;8;87;False
2022-01-11;65;0;41;10;71;False
2022-01-12;85;0;21;4;61;False
2022-01-13;62;0;31;11;90;False
2022-01-14;59;0;15;11;76;False
2022-01-15;56;0;46;6;60;False
2022-01-16;100;0;38;12;65;False
2022-01-17;64;0;12;0;59;False
2022-01-18;58;0;15;16;53;False
2022-01-19;58;0;11;0;67;False
2022-01-20;49;0;18;0;49;False
2022-01-21;52;0;17;5;34;False
2022-01-22;69;0;12;0;48;False
2022-01-23;96;0;22;0;62;False
2022-01-24;83;0;16;6;88;False
2022-01-25;61;0;0;13;45;False
2022-01-26;59;0;15;12;58;False
2022-01-27;55;6;20;6;65;False
2022-01-28;61;0;23;8;45;False
2022-01-29;85;0;21;6;54;False
2022-01-30;65;0;32;10;65;False
2022-01-31;70;0;30;6;75;False
