date;The Apprentice;Kim Kardashian;Floyd Mayweather;Bullying;air travel;isPartial
2022-01-01;5;15;2;3;2;False
2022-01-02;6;12;3;3;3;False
2022-01-03;9;11;2;3;3;False
2022-01-04;31;13;3;4;3;False
2022-01-05;32;12;2;4;4;False
2022-01-06;100;11;2;4;3;False
2022-01-07;64;14;1;5;3;False
2022-01-08;31;14;2;3;4;False
2022-01-09;20;14;2;5;3;False
2022-01-10;21;9;1;4;5;False
2022-01-11;23;9;2;5;4;False
2022-01-12;28;11;2;5;3;False
2022-01-13;61;13;2;6;5;False
2022-01-14;33;13;2;5;4;False
2022-01-15;21;18;1;3;3;False
2022-01-16;18;22;2;3;4;False
2022-01-17;16;14;2;5;3;False
2022-01-18;18;11;1;6;3;False
2022-01-19;19;11;1;5;4;False
2022-01-20;48;11;1;5;3;False
2022-01-21;28;12;1;5;2;False
2022-01-22;16;13;1;4;3;False
2022-01-23;16;16;2;4;3;False
2022-01-24;15;18;2;7;5;False
2022-01-25;11;10;1;6;2;False
2022-01-26;13;12;2;5;3;False
2022-01-27;37;12;0;7;4;False
2022-01-28;27;13;2;5;2;False
2022-01-29;16;15;0;4;3;False
2022-01-30;12;11;1;4;4;False
2022-01-31;12;10;1;5;4;False
