date;Dinosaurs;Isle of Wight;Lincolnshire;Leonardo DiCaprio;air travel;isPartial
2022-01-01;30;80;59;50;5;False
2022-01-02;28;91;65;47;10;False
2022-01-03;26;81;68;48;8;False
2022-01-04;20;83;61;33;8;False
2022-01-05;18;86;69;34;12;False
2022-01-06;17;76;65;31;9;False
2022-01-07;23;88;54;41;10;False
2022-01-08;24;96;62;42;11;False
2022-01-09;23;86;54;42;8;False
2022-01-10;27;92;59;29;15;False
2022-01-11;22;82;60;23;12;False
2022-01-12;23;87;64;21;10;False
2022-01-13;19;92;65;21;15;False
2022-01-14;19;80;60;25;13;False
2022-01-15;29;95;55;40;10;False
2022-01-16;31;100;68;32;11;False
2022-01-17;22;87;69;26;10;False
2022-01-18;26;80;59;19;9;False
2022-01-19;22;76;57;16;11;False
2022-01-20;18;77;59;15;8;False
2022-01-21;24;77;57;22;6;False
2022-01-22;24;83;59;28;8;False
2022-01-23;20;86;57;24;11;False
2022-01-24;22;91;83;18;15;False
2022-01-25;17;74;60;16;8;False
2022-01-26;19;79;59;15;10;False
2022-01-27;20;83;59;11;11;False
2022-01-28;23;86;64;16;8;False
2022-01-29;24;88;61;30;9;False
2022-01-30;22;87;58;19;11;False
2022-01-31;15;85;61;19;13;False
