date;Ecuador;Brit awards;Sault;Adele;air travel;isPartial
2022-01-01;2;1;0;27;2;False
2022-01-02;3;1;0;22;3;False
2022-01-03;2;1;0;16;3;False
2022-01-04;4;1;0;17;3;False
2022-01-05;3;1;0;14;4;False
2022-01-06;4;1;0;15;3;False
2022-01-07;3;0;0;17;3;False
2022-01-08;3;1;0;22;4;False
2022-01-09;3;1;0;18;3;False
2022-01-10;3;1;0;15;5;False
2022-01-11;3;0;1;13;4;False
2022-01-12;2;0;0;18;4;False
2022-01-13;2;1;1;19;5;False
2022-01-14;4;0;0;15;4;False
2022-01-15;3;1;0;18;3;False
2022-01-16;3;1;0;19;4;False
2022-01-17;2;1;0;15;3;False
2022-01-18;2;1;0;18;3;False
2022-01-19;2;1;0;16;4;False
2022-01-20;1;4;1;30;3;False
2022-01-21;2;4;1;100;2;False
2022-01-22;2;3;0;54;3;False
2022-01-23;2;2;0;44;4;False
2022-01-24;4;2;0;33;5;False
2022-01-25;3;2;0;20;3;False
2022-01-26;3;2;0;21;3;False
2022-01-27;25;2;0;17;4;False
2022-01-28;15;3;1;16;3;False
2022-01-29;5;3;0;19;3;False
2022-01-30;4;2;0;24;4;False
2022-01-31;3;4;0;16;4;False
