date;Sharleen Spiteri;Wu-Tang Clan;Rammstein;Paris Hilton;air travel;isPartial
2022-01-01;100;0;14;22;11;False
2022-01-02;2;0;10;30;20;False
2022-01-03;3;1;3;19;16;False
2022-01-04;0;0;7;21;17;False
2022-01-05;7;0;6;4;24;False
2022-01-06;2;0;6;20;19;False
2022-01-07;2;0;6;18;20;False
2022-01-08;4;0;8;25;22;False
2022-01-09;3;0;9;21;17;False
2022-01-10;3;0;0;19;31;False
2022-01-11;0;0;5;15;25;False
2022-01-12;0;0;10;14;21;False
2022-01-13;0;5;6;15;32;False
2022-01-14;5;0;9;17;26;False
2022-01-15;3;0;3;24;21;False
2022-01-16;3;3;5;27;23;False
2022-01-17;3;0;2;16;21;False
2022-01-18;0;0;7;14;19;False
2022-01-19;0;0;6;15;24;False
2022-01-20;2;0;4;7;17;False
2022-01-21;32;0;12;44;12;False
2022-01-22;14;0;6;31;17;False
2022-01-23;4;0;3;21;22;False
2022-01-24;3;2;8;21;31;False
2022-01-25;1;0;7;19;16;False
2022-01-26;1;0;4;16;20;False
2022-01-27;4;0;4;21;23;False
2022-01-28;2;0;7;31;16;False
2022-01-29;5;0;12;38;19;False
2022-01-30;2;0;5;29;23;False
2022-01-31;0;0;6;28;26;False
