date;Neville Chamberlain;Coles;Derry Girls;Genealogy;air travel;isPartial
2022-01-01;4;31;56;5;10;False
2022-01-02;6;18;35;7;19;False
2022-01-03;6;12;26;8;16;False
2022-01-04;2;19;22;8;16;False
2022-01-05;2;13;27;9;23;False
2022-01-06;4;34;30;18;19;False
2022-01-07;4;27;28;12;19;False
2022-01-08;8;27;34;8;22;False
2022-01-09;4;19;38;8;17;False
2022-01-10;4;23;27;8;29;False
2022-01-11;2;10;21;7;24;False
2022-01-12;2;15;18;8;20;False
2022-01-13;11;18;29;10;30;False
2022-01-14;9;22;28;0;25;False
2022-01-15;3;100;51;8;20;False
2022-01-16;5;38;39;14;22;False
2022-01-17;6;20;30;5;20;False
2022-01-18;5;18;27;9;18;False
2022-01-19;23;19;17;5;23;False
2022-01-20;10;13;26;6;16;False
2022-01-21;38;23;24;6;12;False
2022-01-22;56;23;34;11;16;False
2022-01-23;45;22;31;6;21;False
2022-01-24;28;18;19;9;29;False
2022-01-25;22;19;18;7;15;False
2022-01-26;16;19;18;8;19;False
2022-01-27;13;17;18;7;22;False
2022-01-28;26;16;23;7;15;False
2022-01-29;30;74;28;2;18;False
2022-01-30;17;19;19;5;22;False
2022-01-31;8;23;23;11;25;False
