date;Starter;Classics;Folklore and mythology;Chigozie Obioma;air travel;isPartial
2022-01-01;73;37;0;0;6;False
2022-01-02;75;37;0;0;11;False
2022-01-03;76;32;0;0;9;False
2022-01-04;84;25;2;0;9;False
2022-01-05;83;24;0;0;14;False
2022-01-06;73;33;0;2;11;False
2022-01-07;71;28;1;0;11;False
2022-01-08;80;32;1;0;13;False
2022-01-09;95;28;0;0;10;False
2022-01-10;83;31;0;1;17;False
2022-01-11;79;36;0;2;14;False
2022-01-12;72;29;0;0;12;False
2022-01-13;86;28;0;0;18;False
2022-01-14;66;25;0;0;15;False
2022-01-15;78;29;0;1;12;False
2022-01-16;84;34;0;0;13;False
2022-01-17;85;31;1;0;11;False
2022-01-18;75;26;1;0;10;False
2022-01-19;70;26;0;0;13;False
2022-01-20;77;32;0;0;9;False
2022-01-21;71;31;0;1;7;False
2022-01-22;83;33;0;0;9;False
2022-01-23;83;35;2;0;12;False
2022-01-24;100;34;0;0;17;False
2022-01-25;80;31;0;0;9;False
2022-01-26;78;30;1;0;11;False
2022-01-27;70;28;1;0;13;False
2022-01-28;97;30;1;0;9;False
2022-01-29;84;29;0;0;11;False
2022-01-30;75;32;0;0;13;False
2022-01-31;77;32;0;1;15;False
