date;Mali football team;Mauritania football team;Ivanka Trump;Zoom;air travel;isPartial
2022-01-01;0;0;0;37;2;False
2022-01-02;0;0;0;47;4;False
2022-01-03;0;1;1;48;3;False
2022-01-04;1;0;1;74;3;False
2022-01-05;0;1;0;78;5;False
2022-01-06;0;0;1;78;4;False
2022-01-07;0;0;0;74;4;False
2022-01-08;0;0;1;48;5;False
2022-01-09;0;1;0;53;4;False
2022-01-10;0;0;0;97;6;False
2022-01-11;0;0;0;95;5;False
2022-01-12;1;1;1;94;4;False
2022-01-13;0;0;0;99;6;False
2022-01-14;0;0;0;71;5;False
2022-01-15;0;0;1;54;4;False
2022-01-16;0;0;0;54;5;False
2022-01-17;0;0;0;93;4;False
2022-01-18;0;0;0;98;4;False
2022-01-19;0;0;1;86;5;False
2022-01-20;0;0;2;91;3;False
2022-01-21;0;0;2;77;2;False
2022-01-22;0;0;1;47;3;False
2022-01-23;0;0;1;46;4;False
2022-01-24;0;0;1;100;6;False
2022-01-25;0;1;0;88;3;False
2022-01-26;1;0;1;89;4;False
2022-01-27;1;0;0;84;5;False
2022-01-28;0;0;0;83;3;False
2022-01-29;1;0;0;47;4;False
2022-01-30;0;0;0;55;5;False
2022-01-31;0;0;0;86;5;False
