date;Lyon;Algeria;Mona;Art and design books;air travel;isPartial
2022-01-01;2;2;3;0;1;False
2022-01-02;3;1;3;0;1;False
2022-01-03;3;1;3;0;1;False
2022-01-04;2;2;3;0;1;False
2022-01-05;2;4;3;0;2;False
2022-01-06;2;2;3;0;1;False
2022-01-07;2;2;3;0;1;False
2022-01-08;3;2;3;0;1;False
2022-01-09;9;2;3;0;1;False
2022-01-10;5;2;4;0;2;False
2022-01-11;3;10;3;0;2;False
2022-01-12;3;3;3;0;1;False
2022-01-13;3;2;2;0;2;False
2022-01-14;3;2;2;0;2;False
2022-01-15;3;2;2;0;1;False
2022-01-16;5;9;3;0;1;False
2022-01-17;2;3;2;0;1;False
2022-01-18;3;2;2;0;1;False
2022-01-19;3;2;3;0;2;False
2022-01-20;2;10;2;0;1;False
2022-01-21;3;2;2;0;1;False
2022-01-22;3;2;100;0;1;False
2022-01-23;3;2;22;0;1;False
2022-01-24;3;1;6;0;2;False
2022-01-25;3;1;4;0;1;False
2022-01-26;4;2;3;0;1;False
2022-01-27;3;1;3;0;1;False
2022-01-28;3;1;3;0;1;False
2022-01-29;3;1;5;0;1;False
2022-01-30;4;1;4;0;1;False
2022-01-31;3;1;3;0;2;False
