date;Baking;Dessert;Eggs;Pastry;air travel;isPartial
2022-01-01;32;29;79;37;2;False
2022-01-02;41;31;79;33;4;False
2022-01-03;36;23;82;28;3;False
2022-01-04;32;27;70;20;4;False
2022-01-05;32;20;74;25;5;False
2022-01-06;30;17;71;24;4;False
2022-01-07;28;21;73;23;4;False
2022-01-08;38;32;90;31;5;False
2022-01-09;39;25;97;28;4;False
2022-01-10;27;22;82;24;7;False
2022-01-11;29;18;75;21;5;False
2022-01-12;28;19;71;23;5;False
2022-01-13;31;20;77;24;7;False
2022-01-14;25;24;67;25;6;False
2022-01-15;43;33;82;30;4;False
2022-01-16;39;31;100;33;5;False
2022-01-17;28;20;71;23;4;False
2022-01-18;27;19;73;22;4;False
2022-01-19;29;16;68;20;5;False
2022-01-20;27;20;75;21;4;False
2022-01-21;27;22;66;22;3;False
2022-01-22;37;32;84;28;4;False
2022-01-23;39;33;91;30;5;False
2022-01-24;30;23;79;25;7;False
2022-01-25;28;19;72;20;3;False
2022-01-26;29;19;77;19;4;False
2022-01-27;27;20;75;20;5;False
2022-01-28;26;22;74;16;3;False
2022-01-29;39;35;90;25;4;False
2022-01-30;39;29;86;25;5;False
2022-01-31;28;20;81;21;6;False
