date;oceans;extinction rebellion;carbon dioxide;intergovernmental panel on climate change;air travel;isPartial
2022-01-01;100;8;14;6;26;False
2022-01-02;77;0;16;0;47;False
2022-01-03;65;6;37;0;39;False
2022-01-04;57;0;49;0;41;False
2022-01-05;81;6;65;0;58;False
2022-01-06;54;11;61;0;46;False
2022-01-07;64;8;41;4;48;False
2022-01-08;85;0;43;0;54;False
2022-01-09;71;8;45;0;42;False
2022-01-10;85;0;70;0;73;False
2022-01-11;71;4;56;0;59;False
2022-01-12;79;14;85;0;51;False
2022-01-13;71;11;77;0;76;False
2022-01-14;70;14;50;4;63;False
2022-01-15;97;11;36;0;50;False
2022-01-16;79;17;55;0;54;False
2022-01-17;62;16;77;0;49;False
2022-01-18;65;0;77;0;45;False
2022-01-19;50;8;60;0;56;False
2022-01-20;53;12;68;0;41;False
2022-01-21;61;0;50;0;29;False
2022-01-22;59;6;45;12;40;False
2022-01-23;69;6;79;4;52;False
2022-01-24;65;14;82;0;73;False
2022-01-25;77;9;70;7;37;False
2022-01-26;57;4;69;0;48;False
2022-01-27;62;10;78;0;54;False
2022-01-28;65;12;43;0;37;False
2022-01-29;58;3;35;0;45;False
2022-01-30;60;7;56;0;54;False
2022-01-31;66;9;63;0;62;False
