date;Robert Kennedy;Robert F Kennedy Jr;Serie A;Milan;air travel;isPartial
2022-01-01;5;1;17;28;4;False
2022-01-02;2;0;17;37;7;False
2022-01-03;1;1;18;38;6;False
2022-01-04;2;0;17;32;6;False
2022-01-05;3;0;17;32;9;False
2022-01-06;0;0;74;87;7;False
2022-01-07;2;1;31;41;7;False
2022-01-08;1;0;26;40;8;False
2022-01-09;1;1;100;94;6;False
2022-01-10;3;2;41;45;11;False
2022-01-11;2;1;25;40;9;False
2022-01-12;3;1;25;72;8;False
2022-01-13;3;3;26;91;11;False
2022-01-14;2;1;15;43;10;False
2022-01-15;2;2;45;53;8;False
2022-01-16;1;2;76;91;8;False
2022-01-17;2;1;50;80;7;False
2022-01-18;2;0;30;43;7;False
2022-01-19;1;0;19;42;9;False
2022-01-20;1;1;16;35;6;False
2022-01-21;2;0;21;35;4;False
2022-01-22;1;0;45;46;6;False
2022-01-23;2;0;83;81;8;False
2022-01-24;3;0;23;55;11;False
2022-01-25;2;1;15;35;6;False
2022-01-26;1;0;15;31;7;False
2022-01-27;2;2;11;34;8;False
2022-01-28;1;0;13;35;6;False
2022-01-29;2;0;18;42;7;False
2022-01-30;7;3;15;41;8;False
2022-01-31;4;2;11;45;9;False
