date;David Baddiel;Statues;Arctic;Cameroon;air travel;isPartial
2022-01-01;2;13;41;7;5;False
2022-01-02;1;13;38;10;10;False
2022-01-03;3;14;42;8;8;False
2022-01-04;1;10;37;12;8;False
2022-01-05;5;13;40;9;12;False
2022-01-06;2;15;54;9;10;False
2022-01-07;2;11;42;9;10;False
2022-01-08;3;18;38;11;11;False
2022-01-09;3;16;44;74;9;False
2022-01-10;1;10;54;29;15;False
2022-01-11;3;13;37;25;12;False
2022-01-12;5;15;43;15;10;False
2022-01-13;3;9;42;50;16;False
2022-01-14;2;15;44;20;13;False
2022-01-15;5;16;43;15;10;False
2022-01-16;1;13;45;14;11;False
2022-01-17;1;11;48;30;10;False
2022-01-18;3;10;41;11;9;False
2022-01-19;6;8;35;11;12;False
2022-01-20;8;10;34;20;8;False
2022-01-21;2;10;33;9;6;False
2022-01-22;1;13;37;11;8;False
2022-01-23;2;12;45;15;11;False
2022-01-24;1;14;42;100;15;False
2022-01-25;3;13;38;44;8;False
2022-01-26;1;9;33;23;10;False
2022-01-27;1;10;42;9;11;False
2022-01-28;1;10;39;11;8;False
2022-01-29;1;14;43;78;9;False
2022-01-30;4;14;36;34;11;False
2022-01-31;1;11;31;11;13;False
