date;ammanford;transgender people;merthyr tydfil;valérie pécresse;air travel;isPartial
2022-01-01;44;4;71;0;30;False
2022-01-02;39;0;49;0;56;False
2022-01-03;52;5;59;0;43;False
2022-01-04;50;6;100;0;46;False
2022-01-05;45;5;73;0;65;False
2022-01-06;30;7;66;0;51;False
2022-01-07;47;5;62;0;49;False
2022-01-08;43;3;54;0;60;False
2022-01-09;33;8;52;8;37;False
2022-01-10;28;0;72;3;76;False
2022-01-11;50;0;53;0;54;False
2022-01-12;40;9;50;0;62;False
2022-01-13;55;0;69;0;71;False
2022-01-14;48;0;75;0;61;False
2022-01-15;57;4;56;0;60;False
2022-01-16;36;0;34;0;71;False
2022-01-17;26;0;62;0;44;False
2022-01-18;33;0;50;0;39;False
2022-01-19;31;0;47;0;60;False
2022-01-20;37;8;52;0;40;False
2022-01-21;38;6;57;0;39;False
2022-01-22;57;0;63;7;35;False
2022-01-23;25;7;51;9;61;False
2022-01-24;49;0;75;0;69;False
2022-01-25;34;0;57;0;42;False
2022-01-26;34;0;62;0;55;False
2022-01-27;43;14;54;0;51;False
2022-01-28;54;7;58;0;52;False
2022-01-29;44;4;60;0;42;False
2022-01-30;37;6;48;0;55;False
2022-01-31;48;15;52;0;66;False
