date;Derek Jarman;GB News;Figure skating;FBI;air travel;isPartial
2022-01-01;0;34;10;26;11;False
2022-01-02;3;41;9;31;20;False
2022-01-03;0;100;8;30;17;False
2022-01-04;2;98;3;31;17;False
2022-01-05;0;58;8;28;25;False
2022-01-06;2;49;9;24;20;False
2022-01-07;5;56;0;24;20;False
2022-01-08;3;69;8;38;23;False
2022-01-09;0;61;9;30;18;False
2022-01-10;1;67;10;27;31;False
2022-01-11;6;57;7;19;25;False
2022-01-12;0;42;6;29;22;False
2022-01-13;4;62;9;27;32;False
2022-01-14;2;47;5;24;27;False
2022-01-15;2;45;12;20;21;False
2022-01-16;3;64;0;36;23;False
2022-01-17;1;65;6;31;21;False
2022-01-18;2;69;4;21;19;False
2022-01-19;1;54;6;32;24;False
2022-01-20;0;53;2;34;17;False
2022-01-21;3;49;3;28;12;False
2022-01-22;0;43;6;34;17;False
2022-01-23;3;47;9;34;22;False
2022-01-24;2;56;6;28;31;False
2022-01-25;2;60;6;29;16;False
2022-01-26;0;41;4;22;21;False
2022-01-27;3;58;5;21;23;False
2022-01-28;3;54;6;21;16;False
2022-01-29;0;50;11;20;19;False
2022-01-30;9;52;9;28;23;False
2022-01-31;0;58;9;22;27;False
