date;Scarlett Johansson;John Major;Walt Whitman;Adelaide United;air travel;isPartial
2022-01-01;82;37;0;6;24;False
2022-01-02;100;20;0;4;44;False
2022-01-03;84;22;4;0;36;False
2022-01-04;80;14;0;11;38;False
2022-01-05;59;16;3;6;54;False
2022-01-06;51;8;0;0;43;False
2022-01-07;76;15;4;0;44;False
2022-01-08;76;22;4;0;50;False
2022-01-09;80;18;0;7;39;False
2022-01-10;74;0;6;0;68;False
2022-01-11;52;12;0;3;55;False
2022-01-12;53;15;5;0;47;False
2022-01-13;52;8;0;0;70;False
2022-01-14;63;10;0;8;59;False
2022-01-15;78;13;5;0;46;False
2022-01-16;84;22;6;6;50;False
2022-01-17;53;4;0;4;45;False
2022-01-18;58;3;0;9;41;False
2022-01-19;40;17;10;0;52;False
2022-01-20;44;13;3;0;38;False
2022-01-21;52;18;0;0;27;False
2022-01-22;48;17;0;0;37;False
2022-01-23;83;0;6;11;48;False
2022-01-24;37;13;0;0;68;False
2022-01-25;46;21;6;0;35;False
2022-01-26;58;17;0;0;45;False
2022-01-27;34;11;5;0;50;False
2022-01-28;47;13;11;6;35;False
2022-01-29;84;29;4;0;42;False
2022-01-30;58;29;6;6;50;False
2022-01-31;47;26;0;0;58;False
