date;Disability;Scotland holidays;England holidays;Wales holidays;air travel;isPartial
2022-01-01;43;26;26;14;6;False
2022-01-02;49;32;35;19;14;False
2022-01-03;60;46;39;23;9;False
2022-01-04;84;38;48;15;11;False
2022-01-05;71;31;28;17;16;False
2022-01-06;79;16;17;13;12;False
2022-01-07;78;19;20;15;15;False
2022-01-08;52;19;16;14;13;False
2022-01-09;65;20;17;15;10;False
2022-01-10;86;24;36;11;17;False
2022-01-11;85;16;24;15;13;False
2022-01-12;94;17;26;16;15;False
2022-01-13;74;17;16;12;17;False
2022-01-14;77;16;15;15;16;False
2022-01-15;63;19;16;12;15;False
2022-01-16;63;25;14;21;16;False
2022-01-17;88;20;23;17;11;False
2022-01-18;82;14;13;15;13;False
2022-01-19;84;16;19;11;14;False
2022-01-20;89;12;12;9;8;False
2022-01-21;77;12;11;9;8;False
2022-01-22;58;17;10;8;11;False
2022-01-23;60;25;16;16;14;False
2022-01-24;100;21;14;14;15;False
2022-01-25;85;15;12;10;10;False
2022-01-26;86;18;12;10;13;False
2022-01-27;90;11;14;7;12;False
2022-01-28;80;16;15;8;11;False
2022-01-29;52;16;8;14;8;False
2022-01-30;60;22;15;11;15;False
2022-01-31;93;17;10;6;17;False
