date;lashana lynch;west yorkshire;data and forensics;12 days of christmas;air travel;isPartial
2022-01-01;0;61;5;41;12;False
2022-01-02;5;97;0;74;24;False
2022-01-03;2;74;0;43;23;False
2022-01-04;6;95;0;30;25;False
2022-01-05;0;69;0;40;32;False
2022-01-06;2;78;11;19;26;False
2022-01-07;0;72;0;18;28;False
2022-01-08;0;72;2;9;27;False
2022-01-09;3;82;0;12;20;False
2022-01-10;3;79;0;10;34;False
2022-01-11;3;87;0;4;28;False
2022-01-12;0;74;0;4;33;False
2022-01-13;5;81;0;7;33;False
2022-01-14;6;71;0;11;33;False
2022-01-15;5;59;3;6;27;False
2022-01-16;4;85;0;12;32;False
2022-01-17;0;79;0;4;23;False
2022-01-18;0;78;0;5;24;False
2022-01-19;0;65;0;8;32;False
2022-01-20;0;66;0;2;14;False
2022-01-21;0;73;0;0;10;False
2022-01-22;0;66;2;0;27;False
2022-01-23;2;83;0;5;30;False
2022-01-24;0;100;0;0;32;False
2022-01-25;0;74;0;2;19;False
2022-01-26;2;81;0;5;25;False
2022-01-27;0;73;0;6;21;False
2022-01-28;0;69;0;5;19;False
2022-01-29;0;86;2;0;20;False
2022-01-30;0;76;0;7;25;False
2022-01-31;0;77;0;4;33;False
