date;meghan markle;washington;slovakia;article 16;air travel;isPartial
2022-01-01;29;71;8;0;4;False
2022-01-02;27;80;7;1;9;False
2022-01-03;20;71;6;1;8;False
2022-01-04;24;80;9;2;9;False
2022-01-05;33;65;6;0;12;False
2022-01-06;21;67;7;0;9;False
2022-01-07;23;93;10;0;10;False
2022-01-08;25;82;7;1;10;False
2022-01-09;41;82;7;14;7;False
2022-01-10;27;73;7;4;12;False
2022-01-11;20;67;7;1;10;False
2022-01-12;22;67;6;2;12;False
2022-01-13;22;67;8;1;12;False
2022-01-14;16;65;8;1;12;False
2022-01-15;24;85;6;3;10;False
2022-01-16;29;90;10;0;12;False
2022-01-17;25;75;9;0;8;False
2022-01-18;23;62;6;0;9;False
2022-01-19;16;59;10;0;12;False
2022-01-20;19;60;13;1;5;False
2022-01-21;19;77;8;0;4;False
2022-01-22;23;81;6;0;10;False
2022-01-23;19;81;8;1;11;False
2022-01-24;26;100;10;0;12;False
2022-01-25;18;63;9;0;7;False
2022-01-26;15;74;10;1;9;False
2022-01-27;20;66;7;1;8;False
2022-01-28;18;67;6;1;7;False
2022-01-29;22;71;5;0;7;False
2022-01-30;25;81;7;2;9;False
2022-01-31;21;74;9;1;12;False
