date;Merrick Garland;Euro 2028;European Championship;Uefa;air travel;isPartial
2022-01-01;0;0;5;67;34;False
2022-01-02;0;0;13;52;63;False
2022-01-03;0;0;9;58;51;False
2022-01-04;10;0;11;66;54;False
2022-01-05;0;0;0;52;77;False
2022-01-06;0;7;6;82;61;False
2022-01-07;0;4;6;48;63;False
2022-01-08;0;0;7;63;71;False
2022-01-09;0;0;0;60;55;False
2022-01-10;5;0;0;48;97;False
2022-01-11;6;0;0;62;79;False
2022-01-12;0;0;6;54;67;False
2022-01-13;0;0;24;66;100;False
2022-01-14;0;8;0;48;84;False
2022-01-15;0;0;11;59;66;False
2022-01-16;5;5;16;84;72;False
2022-01-17;0;9;17;46;65;False
2022-01-18;0;0;16;72;59;False
2022-01-19;0;0;23;47;74;False
2022-01-20;0;8;19;63;54;False
2022-01-21;0;0;8;52;38;False
2022-01-22;0;0;15;52;53;False
2022-01-23;0;0;10;66;69;False
2022-01-24;0;0;0;80;97;False
2022-01-25;0;0;6;73;49;False
2022-01-26;0;0;0;61;64;False
2022-01-27;5;0;10;67;71;False
2022-01-28;6;0;6;63;49;False
2022-01-29;0;0;16;60;60;False
2022-01-30;0;0;9;43;71;False
2022-01-31;0;0;0;62;82;False
