date;Jodie Whittaker;Chris Chibnall;Music radio;Notre Dame;air travel;isPartial
2022-01-01;100;4;14;33;12;False
2022-01-02;70;0;13;23;22;False
2022-01-03;24;2;12;20;18;False
2022-01-04;11;2;19;23;19;False
2022-01-05;13;0;14;20;27;False
2022-01-06;17;0;18;24;22;False
2022-01-07;12;0;21;21;22;False
2022-01-08;16;0;25;17;25;False
2022-01-09;11;0;17;14;20;False
2022-01-10;8;0;21;25;34;False
2022-01-11;10;0;21;24;28;False
2022-01-12;7;0;20;16;24;False
2022-01-13;3;6;23;20;35;False
2022-01-14;6;0;22;17;30;False
2022-01-15;11;0;29;18;23;False
2022-01-16;15;0;17;30;26;False
2022-01-17;4;0;17;12;23;False
2022-01-18;3;0;16;23;21;False
2022-01-19;4;2;19;18;26;False
2022-01-20;3;0;21;15;19;False
2022-01-21;4;0;17;19;13;False
2022-01-22;10;0;18;17;19;False
2022-01-23;7;0;12;30;24;False
2022-01-24;13;0;22;22;34;False
2022-01-25;7;0;15;18;17;False
2022-01-26;5;0;18;22;23;False
2022-01-27;7;2;14;17;25;False
2022-01-28;2;0;23;19;18;False
2022-01-29;51;0;20;21;21;False
2022-01-30;11;0;14;20;25;False
2022-01-31;4;0;11;31;29;False
