date;sainsburys;sir keir starmer;coventry;egypt;air travel;isPartial
2022-01-01;100;0;22;5;0;False
2022-01-02;63;0;22;7;1;False
2022-01-03;69;0;21;6;1;False
2022-01-04;41;0;26;6;1;False
2022-01-05;38;0;24;8;1;False
2022-01-06;36;0;23;7;1;False
2022-01-07;37;0;24;8;1;False
2022-01-08;42;0;29;9;1;False
2022-01-09;46;0;25;9;1;False
2022-01-10;36;0;28;9;1;False
2022-01-11;33;0;27;22;1;False
2022-01-12;35;0;27;9;1;False
2022-01-13;38;0;29;9;1;False
2022-01-14;33;8;25;6;1;False
2022-01-15;41;1;28;13;1;False
2022-01-16;46;0;23;9;1;False
2022-01-17;34;1;27;8;1;False
2022-01-18;32;1;24;7;1;False
2022-01-19;30;0;22;10;1;False
2022-01-20;34;0;23;7;1;False
2022-01-21;33;0;26;6;1;False
2022-01-22;37;0;27;8;1;False
2022-01-23;49;0;21;11;1;False
2022-01-24;37;0;28;9;1;False
2022-01-25;35;0;26;8;1;False
2022-01-26;46;0;28;20;1;False
2022-01-27;33;0;25;8;1;False
2022-01-28;36;0;25;6;1;False
2022-01-29;37;0;29;21;1;False
2022-01-30;38;0;23;27;1;False
2022-01-31;35;0;26;9;1;False
