date;Horses;Hugo Chávez;Calais;Borussia Mönchengladbach;air travel;isPartial
2022-01-01;82;0;6;0;3;False
2022-01-02;81;0;8;0;6;False
2022-01-03;67;0;7;1;5;False
2022-01-04;62;0;5;0;5;False
2022-01-05;58;0;6;0;7;False
2022-01-06;58;0;7;0;6;False
2022-01-07;63;1;5;4;6;False
2022-01-08;86;0;7;2;7;False
2022-01-09;86;0;10;1;5;False
2022-01-10;65;0;7;1;9;False
2022-01-11;62;0;7;0;8;False
2022-01-12;60;0;10;0;6;False
2022-01-13;71;1;11;1;10;False
2022-01-14;62;0;8;0;8;False
2022-01-15;100;0;7;2;6;False
2022-01-16;91;1;13;3;7;False
2022-01-17;89;0;9;0;6;False
2022-01-18;65;1;9;0;6;False
2022-01-19;54;0;7;2;7;False
2022-01-20;59;0;6;0;5;False
2022-01-21;57;1;10;0;4;False
2022-01-22;81;0;9;1;5;False
2022-01-23;80;0;13;1;7;False
2022-01-24;68;0;9;0;9;False
2022-01-25;66;0;7;0;5;False
2022-01-26;65;0;7;0;6;False
2022-01-27;68;0;6;0;7;False
2022-01-28;88;0;10;1;5;False
2022-01-29;89;0;8;1;6;False
2022-01-30;79;1;11;0;7;False
2022-01-31;66;0;11;0;8;False
