date;Christmas;Aziz Ansari;Football agents;Alexander Lukashenko;air travel;isPartial
2022-01-01;100;0;0;0;0;False
2022-01-02;95;0;0;0;1;False
2022-01-03;89;0;0;0;1;False
2022-01-04;62;0;0;0;1;False
2022-01-05;53;0;0;0;1;False
2022-01-06;43;0;0;0;1;False
2022-01-07;37;0;0;0;1;False
2022-01-08;35;0;0;0;1;False
2022-01-09;32;0;0;0;1;False
2022-01-10;24;0;0;0;1;False
2022-01-11;20;0;0;0;1;False
2022-01-12;19;0;0;0;1;False
2022-01-13;21;0;0;0;1;False
2022-01-14;17;0;0;0;1;False
2022-01-15;21;0;0;0;1;False
2022-01-16;21;0;0;0;1;False
2022-01-17;16;0;0;0;1;False
2022-01-18;14;0;0;0;1;False
2022-01-19;13;0;0;0;1;False
2022-01-20;13;0;0;0;1;False
2022-01-21;13;0;0;0;0;False
2022-01-22;19;0;0;0;1;False
2022-01-23;16;0;0;0;1;False
2022-01-24;13;0;0;0;1;False
2022-01-25;11;0;0;0;1;False
2022-01-26;12;0;0;0;1;False
2022-01-27;11;0;0;0;1;False
2022-01-28;10;0;0;0;1;False
2022-01-29;13;0;0;0;1;False
2022-01-30;12;0;0;0;1;False
2022-01-31;10;0;0;0;1;False
