date;driverless cars;wiltshire;neighbours;dublin;air travel;isPartial
2022-01-01;1;33;18;57;2;False
2022-01-02;0;35;19;61;5;False
2022-01-03;2;37;31;60;5;False
2022-01-04;1;41;27;69;5;False
2022-01-05;0;33;22;56;7;False
2022-01-06;0;35;22;56;5;False
2022-01-07;0;31;35;59;6;False
2022-01-08;0;29;22;66;6;False
2022-01-09;0;39;18;75;4;False
2022-01-10;0;43;24;100;7;False
2022-01-11;1;43;39;73;6;False
2022-01-12;1;33;28;66;7;False
2022-01-13;0;36;26;64;7;False
2022-01-14;0;31;23;58;7;False
2022-01-15;0;27;23;62;6;False
2022-01-16;0;37;18;76;7;False
2022-01-17;0;40;23;64;5;False
2022-01-18;0;31;52;64;5;False
2022-01-19;0;34;39;67;7;False
2022-01-20;0;34;26;63;3;False
2022-01-21;0;28;33;69;2;False
2022-01-22;0;26;22;76;6;False
2022-01-23;0;32;19;86;6;False
2022-01-24;0;42;32;89;7;False
2022-01-25;0;33;21;66;4;False
2022-01-26;1;35;23;81;5;False
2022-01-27;1;28;19;66;4;False
2022-01-28;0;36;24;78;4;False
2022-01-29;0;29;24;76;4;False
2022-01-30;0;30;22;78;5;False
2022-01-31;1;36;22;75;7;False
