date;TSB;Shipping industry;Australian television;Australian Broadcasting Corporation;air travel;isPartial
2022-01-01;39;0;0;0;4;False
2022-01-02;50;0;1;0;7;False
2022-01-03;68;0;0;0;6;False
2022-01-04;94;0;0;0;6;False
2022-01-05;85;0;0;0;8;False
2022-01-06;73;0;0;0;7;False
2022-01-07;82;0;0;0;7;False
2022-01-08;60;1;0;1;8;False
2022-01-09;57;0;0;0;6;False
2022-01-10;85;0;0;0;11;False
2022-01-11;100;0;0;1;9;False
2022-01-12;77;0;1;0;7;False
2022-01-13;82;1;1;0;11;False
2022-01-14;82;0;0;0;9;False
2022-01-15;57;0;1;2;7;False
2022-01-16;55;0;0;0;8;False
2022-01-17;90;1;0;0;7;False
2022-01-18;70;0;0;0;6;False
2022-01-19;69;0;1;0;8;False
2022-01-20;77;1;0;0;6;False
2022-01-21;81;1;0;1;4;False
2022-01-22;59;0;1;1;6;False
2022-01-23;49;1;1;0;8;False
2022-01-24;86;0;0;0;11;False
2022-01-25;71;1;0;0;5;False
2022-01-26;76;0;0;1;7;False
2022-01-27;81;1;0;1;8;False
2022-01-28;96;0;0;1;5;False
2022-01-29;66;0;0;0;7;False
2022-01-30;51;0;1;0;8;False
2022-01-31;100;0;0;0;9;False
