date;Egypt;Bill Callahan;Indian food and drink;Julian Assange;air travel;isPartial
2022-01-01;20;0;0;2;2;False
2022-01-02;25;0;0;2;3;False
2022-01-03;22;0;0;1;3;False
2022-01-04;23;0;0;1;3;False
2022-01-05;30;0;0;1;4;False
2022-01-06;25;1;0;1;3;False
2022-01-07;29;0;0;1;3;False
2022-01-08;34;0;0;1;4;False
2022-01-09;34;0;0;1;3;False
2022-01-10;34;0;0;0;5;False
2022-01-11;84;0;0;0;4;False
2022-01-12;33;0;0;1;4;False
2022-01-13;33;1;0;1;5;False
2022-01-14;24;0;0;1;4;False
2022-01-15;48;0;1;0;3;False
2022-01-16;35;0;1;1;4;False
2022-01-17;30;0;0;1;3;False
2022-01-18;26;0;0;1;3;False
2022-01-19;38;0;0;1;4;False
2022-01-20;27;0;0;0;3;False
2022-01-21;24;0;1;1;2;False
2022-01-22;28;0;0;1;3;False
2022-01-23;41;0;0;1;4;False
2022-01-24;35;0;0;9;5;False
2022-01-25;30;0;0;2;3;False
2022-01-26;75;0;0;0;3;False
2022-01-27;29;0;0;0;4;False
2022-01-28;23;0;0;1;3;False
2022-01-29;78;0;0;1;3;False
2022-01-30;100;0;0;1;4;False
2022-01-31;33;0;0;1;4;False
