date;Condé Nast;Alfred Hitchcock;The Lodger;Whitbread;air travel;isPartial
2022-01-01;0;18;0;18;34;False
2022-01-02;0;22;0;22;63;False
2022-01-03;0;19;6;40;51;False
2022-01-04;0;0;0;39;54;False
2022-01-05;5;7;0;44;77;False
2022-01-06;0;6;4;45;61;False
2022-01-07;0;0;0;43;63;False
2022-01-08;0;10;0;21;71;False
2022-01-09;5;13;0;27;55;False
2022-01-10;0;12;0;46;97;False
2022-01-11;0;20;0;50;79;False
2022-01-12;0;6;0;60;67;False
2022-01-13;0;5;0;54;100;False
2022-01-14;0;0;5;40;84;False
2022-01-15;0;12;9;37;66;False
2022-01-16;0;22;0;30;72;False
2022-01-17;0;9;0;39;65;False
2022-01-18;4;10;0;58;59;False
2022-01-19;0;13;0;39;74;False
2022-01-20;0;0;0;44;54;False
2022-01-21;0;17;6;45;38;False
2022-01-22;0;18;0;25;53;False
2022-01-23;0;12;0;24;69;False
2022-01-24;0;18;0;65;97;False
2022-01-25;0;13;0;69;49;False
2022-01-26;0;14;0;44;64;False
2022-01-27;9;0;8;45;71;False
2022-01-28;0;20;0;45;49;False
2022-01-29;0;19;0;54;60;False
2022-01-30;0;21;0;24;71;False
2022-01-31;6;13;0;41;82;False
