date;Society;SpaceX;Florida;US news;air travel;isPartial
2022-01-01;47;2;43;3;2;False
2022-01-02;54;2;43;3;4;False
2022-01-03;60;3;41;5;3;False
2022-01-04;90;2;37;5;3;False
2022-01-05;81;3;36;5;5;False
2022-01-06;80;3;33;6;4;False
2022-01-07;77;2;33;4;4;False
2022-01-08;69;2;39;4;4;False
2022-01-09;60;1;48;4;2;False
2022-01-10;89;2;39;4;6;False
2022-01-11;86;2;37;6;4;False
2022-01-12;83;2;30;5;4;False
2022-01-13;85;2;32;5;5;False
2022-01-14;74;2;32;4;5;False
2022-01-15;64;1;41;4;4;False
2022-01-16;61;1;47;5;5;False
2022-01-17;82;2;33;7;3;False
2022-01-18;83;2;30;4;4;False
2022-01-19;76;2;30;4;4;False
2022-01-20;78;2;32;6;3;False
2022-01-21;75;0;31;4;2;False
2022-01-22;56;2;40;4;3;False
2022-01-23;65;1;49;4;4;False
2022-01-24;100;2;41;6;5;False
2022-01-25;80;2;35;5;3;False
2022-01-26;73;11;33;6;4;False
2022-01-27;77;8;30;5;3;False
2022-01-28;78;6;32;4;3;False
2022-01-29;60;3;40;4;3;False
2022-01-30;55;2;42;5;4;False
2022-01-31;88;3;35;4;5;False
