date;Lena Dunham;Aubrey Plaza;Bill Nighy;Hunter Biden;air travel;isPartial
2022-01-01;15;0;25;0;34;False
2022-01-02;15;22;20;0;63;False
2022-01-03;17;21;27;0;51;False
2022-01-04;7;15;10;9;54;False
2022-01-05;0;19;16;12;77;False
2022-01-06;5;9;18;0;61;False
2022-01-07;4;14;8;0;63;False
2022-01-08;14;14;31;0;71;False
2022-01-09;9;18;23;0;55;False
2022-01-10;5;12;0;0;97;False
2022-01-11;15;18;17;0;79;False
2022-01-12;5;20;0;0;67;False
2022-01-13;0;7;8;8;100;False
2022-01-14;13;23;0;9;84;False
2022-01-15;0;29;31;0;66;False
2022-01-16;0;39;13;9;72;False
2022-01-17;0;25;26;8;65;False
2022-01-18;5;13;8;7;59;False
2022-01-19;19;8;0;0;74;False
2022-01-20;43;18;13;0;54;False
2022-01-21;27;0;16;0;38;False
2022-01-22;46;12;57;0;53;False
2022-01-23;22;4;34;7;69;False
2022-01-24;22;23;26;23;97;False
2022-01-25;0;18;15;11;49;False
2022-01-26;0;6;6;4;64;False
2022-01-27;0;8;13;0;71;False
2022-01-28;6;22;20;0;49;False
2022-01-29;0;0;15;0;60;False
2022-01-30;18;18;14;12;71;False
2022-01-31;0;6;0;9;82;False
