date;Hungary;Elon Musk;Tesla;Local government;air travel;isPartial
2022-01-01;7;25;53;1;3;False
2022-01-02;9;20;66;3;5;False
2022-01-03;9;16;96;1;4;False
2022-01-04;11;21;96;3;4;False
2022-01-05;10;19;75;5;6;False
2022-01-06;9;18;79;4;5;False
2022-01-07;9;18;87;4;5;False
2022-01-08;11;17;71;1;5;False
2022-01-09;11;18;63;2;4;False
2022-01-10;10;13;76;5;7;False
2022-01-11;9;14;71;3;6;False
2022-01-12;9;14;67;5;5;False
2022-01-13;11;13;76;2;7;False
2022-01-14;10;17;78;6;6;False
2022-01-15;8;16;67;2;5;False
2022-01-16;8;16;64;3;5;False
2022-01-17;11;35;72;5;5;False
2022-01-18;9;17;69;6;4;False
2022-01-19;8;13;62;5;6;False
2022-01-20;9;13;64;4;4;False
2022-01-21;8;15;70;4;3;False
2022-01-22;7;15;61;2;4;False
2022-01-23;10;17;63;2;5;False
2022-01-24;18;13;100;5;7;False
2022-01-25;12;15;80;6;4;False
2022-01-26;9;12;86;6;5;False
2022-01-27;11;18;89;4;5;False
2022-01-28;9;25;94;5;4;False
2022-01-29;8;19;62;3;4;False
2022-01-30;12;15;61;3;5;False
2022-01-31;12;16;70;4;6;False
