date;T20 World Cup;Manufacturing data;Elizabeth Holmes;US income inequality;air travel;isPartial
2022-01-01;1;1;3;0;3;False
2022-01-02;2;0;2;0;5;False
2022-01-03;1;0;4;0;4;False
2022-01-04;0;1;100;0;4;False
2022-01-05;0;0;23;0;6;False
2022-01-06;1;1;12;0;5;False
2022-01-07;1;0;9;0;5;False
2022-01-08;1;0;9;0;6;False
2022-01-09;1;1;4;0;4;False
2022-01-10;0;0;6;0;8;False
2022-01-11;1;0;3;0;6;False
2022-01-12;0;0;3;0;5;False
2022-01-13;0;0;3;0;8;False
2022-01-14;1;0;3;0;7;False
2022-01-15;1;1;3;0;5;False
2022-01-16;0;1;3;0;6;False
2022-01-17;0;0;4;0;5;False
2022-01-18;1;0;2;0;5;False
2022-01-19;0;0;2;0;6;False
2022-01-20;1;0;3;0;4;False
2022-01-21;4;0;1;0;3;False
2022-01-22;3;0;2;0;4;False
2022-01-23;2;0;3;0;5;False
2022-01-24;2;0;2;0;8;False
2022-01-25;1;0;2;0;4;False
2022-01-26;1;0;1;0;5;False
2022-01-27;1;0;1;0;6;False
2022-01-28;0;1;1;0;4;False
2022-01-29;1;0;1;0;5;False
2022-01-30;1;0;0;0;6;False
2022-01-31;1;1;1;0;7;False
