date;tackling racism;far-right;al-shabaab;madeleine mccann;air travel;isPartial
2022-01-01;1;0;1;9;4;False
2022-01-02;0;1;1;5;7;False
2022-01-03;0;0;0;7;6;False
2022-01-04;0;0;0;7;6;False
2022-01-05;0;0;0;5;9;False
2022-01-06;0;0;0;4;7;False
2022-01-07;0;0;0;8;7;False
2022-01-08;1;0;0;8;8;False
2022-01-09;2;1;0;45;6;False
2022-01-10;0;0;0;12;11;False
2022-01-11;0;0;0;7;9;False
2022-01-12;0;0;0;7;8;False
2022-01-13;0;0;0;7;12;False
2022-01-14;1;1;0;6;10;False
2022-01-15;0;0;0;7;8;False
2022-01-16;2;0;0;7;8;False
2022-01-17;2;0;0;8;8;False
2022-01-18;0;0;0;7;7;False
2022-01-19;0;1;0;98;9;False
2022-01-20;0;0;0;100;6;False
2022-01-21;1;1;0;10;4;False
2022-01-22;0;0;0;10;6;False
2022-01-23;0;0;0;9;8;False
2022-01-24;0;0;0;9;11;False
2022-01-25;0;0;0;8;6;False
2022-01-26;0;0;0;8;8;False
2022-01-27;0;0;0;6;8;False
2022-01-28;0;1;0;6;6;False
2022-01-29;1;1;1;7;7;False
2022-01-30;0;0;0;13;8;False
2022-01-31;0;0;0;10;10;False
