date;New South Wales politics;Dominic Perrottet;Law (Australia);Privatisation;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;0;9;0;8;63;False
2022-01-03;0;0;0;8;51;False
2022-01-04;0;10;5;5;54;False
2022-01-05;0;0;7;7;77;False
2022-01-06;0;0;13;18;61;False
2022-01-07;0;0;0;6;63;False
2022-01-08;0;0;0;9;71;False
2022-01-09;0;0;11;7;55;False
2022-01-10;0;0;7;0;97;False
2022-01-11;0;4;26;5;79;False
2022-01-12;0;4;9;11;67;False
2022-01-13;0;0;12;21;100;False
2022-01-14;0;0;0;0;84;False
2022-01-15;0;0;10;8;66;False
2022-01-16;0;0;10;17;72;False
2022-01-17;0;0;0;0;65;False
2022-01-18;0;0;0;20;59;False
2022-01-19;0;0;0;16;74;False
2022-01-20;0;0;8;6;54;False
2022-01-21;0;0;0;5;38;False
2022-01-22;0;0;0;7;53;False
2022-01-23;0;0;7;15;69;False
2022-01-24;0;6;0;17;97;False
2022-01-25;0;0;7;17;49;False
2022-01-26;0;0;0;13;64;False
2022-01-27;0;0;0;8;71;False
2022-01-28;0;0;0;11;49;False
2022-01-29;0;0;0;9;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;0;7;12;82;False
