date;spain;labour;abba;world cup 2022;air travel;isPartial
2022-01-01;62;17;17;10;1;False
2022-01-02;71;20;7;9;3;False
2022-01-03;75;19;6;7;2;False
2022-01-04;76;23;6;8;2;False
2022-01-05;80;23;5;7;3;False
2022-01-06;73;21;4;6;3;False
2022-01-07;73;30;7;7;3;False
2022-01-08;81;22;7;7;3;False
2022-01-09;91;23;8;8;2;False
2022-01-10;83;26;6;8;4;False
2022-01-11;75;29;7;6;3;False
2022-01-12;75;34;10;6;3;False
2022-01-13;80;35;7;7;4;False
2022-01-14;70;34;7;7;4;False
2022-01-15;83;38;9;10;3;False
2022-01-16;94;30;7;10;3;False
2022-01-17;83;26;6;8;3;False
2022-01-18;75;25;6;7;2;False
2022-01-19;73;36;5;9;3;False
2022-01-20;76;29;6;10;2;False
2022-01-21;72;24;8;8;2;False
2022-01-22;83;21;8;10;2;False
2022-01-23;90;23;7;11;3;False
2022-01-24;100;28;6;9;4;False
2022-01-25;84;28;7;8;2;False
2022-01-26;79;29;4;9;3;False
2022-01-27;81;25;5;9;3;False
2022-01-28;79;24;8;12;2;False
2022-01-29;81;22;9;13;3;False
2022-01-30;87;21;7;12;3;False
2022-01-31;79;31;6;9;3;False
