date;Wes Anderson;Roald Dahl;Taika Waititi;Matthew Warchus;air travel;isPartial
2022-01-01;42;42;35;0;34;False
2022-01-02;46;77;30;0;63;False
2022-01-03;47;36;20;0;51;False
2022-01-04;46;61;12;0;54;False
2022-01-05;27;46;17;0;77;False
2022-01-06;29;51;16;0;61;False
2022-01-07;42;65;8;0;63;False
2022-01-08;63;63;33;9;71;False
2022-01-09;45;52;28;0;55;False
2022-01-10;32;73;13;0;97;False
2022-01-11;19;66;20;0;79;False
2022-01-12;22;42;7;4;67;False
2022-01-13;20;48;18;6;100;False
2022-01-14;44;62;18;0;84;False
2022-01-15;52;67;56;0;66;False
2022-01-16;34;83;32;0;72;False
2022-01-17;57;26;14;0;65;False
2022-01-18;31;45;19;0;59;False
2022-01-19;17;56;9;0;74;False
2022-01-20;15;30;18;0;54;False
2022-01-21;50;67;5;0;38;False
2022-01-22;81;75;21;0;53;False
2022-01-23;63;77;21;0;69;False
2022-01-24;44;76;18;0;97;False
2022-01-25;30;43;32;0;49;False
2022-01-26;15;61;9;0;64;False
2022-01-27;25;60;9;0;71;False
2022-01-28;37;54;12;0;49;False
2022-01-29;40;48;11;0;60;False
2022-01-30;54;50;25;0;71;False
2022-01-31;32;58;33;6;82;False
