date;racism in football;duchess of sussex;oldham;the ashes 2021/22;air travel;isPartial
2022-01-01;0;2;88;0;3;False
2022-01-02;0;3;74;0;7;False
2022-01-03;0;0;79;0;7;False
2022-01-04;1;0;100;0;7;False
2022-01-05;0;3;77;0;9;False
2022-01-06;1;1;73;0;7;False
2022-01-07;0;1;85;0;8;False
2022-01-08;1;1;76;0;8;False
2022-01-09;1;0;70;0;6;False
2022-01-10;0;2;82;0;10;False
2022-01-11;1;2;78;0;8;False
2022-01-12;0;1;72;0;10;False
2022-01-13;1;1;80;0;10;False
2022-01-14;2;1;71;0;10;False
2022-01-15;2;1;62;0;8;False
2022-01-16;1;0;72;0;9;False
2022-01-17;0;0;74;0;7;False
2022-01-18;0;2;59;0;7;False
2022-01-19;1;1;68;0;9;False
2022-01-20;0;1;65;0;4;False
2022-01-21;0;1;71;0;3;False
2022-01-22;0;2;70;0;8;False
2022-01-23;0;3;67;0;9;False
2022-01-24;3;1;94;0;9;False
2022-01-25;0;1;63;0;6;False
2022-01-26;0;2;72;0;7;False
2022-01-27;0;1;67;0;6;False
2022-01-28;0;1;77;0;5;False
2022-01-29;1;3;93;0;6;False
2022-01-30;0;0;73;0;7;False
2022-01-31;1;1;78;0;10;False
