date;Consciousness;Terence Donovan;Moses Sumney;Beanie Feldstein;air travel;isPartial
2022-01-01;27;12;0;14;34;False
2022-01-02;41;0;0;0;63;False
2022-01-03;27;5;0;4;51;False
2022-01-04;35;0;7;10;54;False
2022-01-05;42;0;5;0;77;False
2022-01-06;54;0;0;14;61;False
2022-01-07;24;0;0;6;63;False
2022-01-08;43;4;0;0;71;False
2022-01-09;18;0;0;7;55;False
2022-01-10;42;0;0;4;97;False
2022-01-11;25;0;0;0;79;False
2022-01-12;27;0;5;11;67;False
2022-01-13;40;0;0;0;100;False
2022-01-14;40;5;5;0;84;False
2022-01-15;33;0;12;14;66;False
2022-01-16;17;0;0;0;72;False
2022-01-17;52;0;6;0;65;False
2022-01-18;51;0;0;0;59;False
2022-01-19;26;0;0;0;74;False
2022-01-20;31;0;0;13;54;False
2022-01-21;17;0;6;5;38;False
2022-01-22;33;17;0;9;53;False
2022-01-23;61;0;5;4;69;False
2022-01-24;35;0;0;7;97;False
2022-01-25;51;0;0;11;49;False
2022-01-26;36;0;0;5;64;False
2022-01-27;42;5;0;0;71;False
2022-01-28;33;0;4;8;49;False
2022-01-29;39;0;17;0;60;False
2022-01-30;28;0;6;6;71;False
2022-01-31;35;7;0;0;82;False
