date;Snowboarding;Fox;Sunday Times;Bath;air travel;isPartial
2022-01-01;1;47;7;76;1;False
2022-01-02;1;50;10;81;2;False
2022-01-03;2;46;4;84;1;False
2022-01-04;2;40;2;77;2;False
2022-01-05;1;48;2;73;2;False
2022-01-06;2;43;2;69;2;False
2022-01-07;1;61;2;71;2;False
2022-01-08;2;57;7;87;2;False
2022-01-09;2;51;10;100;2;False
2022-01-10;2;47;3;83;3;False
2022-01-11;2;44;2;75;2;False
2022-01-12;1;44;1;74;2;False
2022-01-13;1;80;2;76;3;False
2022-01-14;1;59;1;76;2;False
2022-01-15;2;66;7;92;2;False
2022-01-16;3;63;11;91;2;False
2022-01-17;1;51;2;79;2;False
2022-01-18;1;45;2;73;2;False
2022-01-19;2;46;2;66;2;False
2022-01-20;1;50;1;69;2;False
2022-01-21;1;48;2;70;1;False
2022-01-22;2;59;5;88;2;False
2022-01-23;2;61;9;88;2;False
2022-01-24;2;58;3;85;3;False
2022-01-25;1;47;1;71;1;False
2022-01-26;1;48;2;68;2;False
2022-01-27;1;47;2;67;2;False
2022-01-28;1;48;3;84;1;False
2022-01-29;1;52;5;85;2;False
2022-01-30;1;56;11;77;2;False
2022-01-31;1;54;2;71;2;False
