date;Simon Rattle;Spandau Ballet;Martin Kemp;Ennio Morricone;air travel;isPartial
2022-01-01;0;23;42;6;34;False
2022-01-02;0;27;30;7;63;False
2022-01-03;5;16;31;8;51;False
2022-01-04;0;12;0;0;54;False
2022-01-05;0;0;7;0;77;False
2022-01-06;0;8;22;0;61;False
2022-01-07;0;20;36;20;63;False
2022-01-08;0;26;36;5;71;False
2022-01-09;0;0;16;6;55;False
2022-01-10;0;8;14;5;97;False
2022-01-11;0;9;10;0;79;False
2022-01-12;0;5;18;0;67;False
2022-01-13;0;10;8;9;100;False
2022-01-14;9;24;22;0;84;False
2022-01-15;0;19;39;10;66;False
2022-01-16;0;9;33;11;72;False
2022-01-17;0;12;24;6;65;False
2022-01-18;0;8;19;7;59;False
2022-01-19;0;9;16;0;74;False
2022-01-20;0;5;7;0;54;False
2022-01-21;0;25;43;4;38;False
2022-01-22;0;13;27;0;53;False
2022-01-23;0;13;19;4;69;False
2022-01-24;0;35;45;8;97;False
2022-01-25;0;10;22;0;49;False
2022-01-26;7;4;0;6;64;False
2022-01-27;0;9;34;0;71;False
2022-01-28;6;25;28;9;49;False
2022-01-29;0;51;46;5;60;False
2022-01-30;0;19;26;0;71;False
2022-01-31;0;9;30;0;82;False
