date;Costa Rica;Diving;Coral;Slavery;air travel;isPartial
2022-01-01;15;17;81;5;3;False
2022-01-02;18;14;72;6;5;False
2022-01-03;21;12;65;5;4;False
2022-01-04;19;11;65;9;5;False
2022-01-05;14;11;61;11;6;False
2022-01-06;18;8;59;9;5;False
2022-01-07;17;10;69;11;5;False
2022-01-08;23;13;87;8;6;False
2022-01-09;28;17;75;8;5;False
2022-01-10;22;11;66;9;8;False
2022-01-11;18;11;61;7;7;False
2022-01-12;19;13;67;9;6;False
2022-01-13;20;15;75;11;8;False
2022-01-14;17;11;66;8;7;False
2022-01-15;23;15;89;6;6;False
2022-01-16;25;15;84;8;6;False
2022-01-17;17;16;66;9;5;False
2022-01-18;16;12;66;11;5;False
2022-01-19;15;10;59;12;6;False
2022-01-20;18;10;68;9;5;False
2022-01-21;17;10;72;9;3;False
2022-01-22;17;13;89;8;4;False
2022-01-23;25;15;74;9;6;False
2022-01-24;20;14;72;12;8;False
2022-01-25;19;10;65;11;4;False
2022-01-26;17;11;64;11;5;False
2022-01-27;12;10;64;7;6;False
2022-01-28;16;12;79;9;4;False
2022-01-29;19;13;100;6;5;False
2022-01-30;20;15;73;8;6;False
2022-01-31;18;10;69;8;7;False
