date;malik faisal akram;reclaim these streets;disney;vienna;air travel;isPartial
2022-01-01;0;0;100;19;1;False
2022-01-02;0;0;95;8;2;False
2022-01-03;0;0;84;6;2;False
2022-01-04;0;0;70;4;2;False
2022-01-05;0;0;63;4;2;False
2022-01-06;0;0;63;4;2;False
2022-01-07;0;0;68;4;2;False
2022-01-08;0;0;84;5;2;False
2022-01-09;0;0;88;6;1;False
2022-01-10;0;0;61;4;2;False
2022-01-11;0;0;62;5;2;False
2022-01-12;0;0;69;4;2;False
2022-01-13;0;0;63;4;2;False
2022-01-14;0;0;64;3;2;False
2022-01-15;0;0;85;4;2;False
2022-01-16;5;0;91;5;2;False
2022-01-17;3;0;59;5;2;False
2022-01-18;1;0;57;3;2;False
2022-01-19;0;0;56;4;2;False
2022-01-20;1;0;56;3;1;False
2022-01-21;0;0;67;4;1;False
2022-01-22;0;0;87;5;2;False
2022-01-23;0;0;91;4;2;False
2022-01-24;0;0;69;5;2;False
2022-01-25;0;0;51;4;1;False
2022-01-26;0;0;64;4;2;False
2022-01-27;0;0;55;4;1;False
2022-01-28;0;0;70;4;1;False
2022-01-29;0;0;84;4;1;False
2022-01-30;0;0;84;5;2;False
2022-01-31;0;0;61;4;2;False
