date;Eric Pickles;Go-Ahead;Nirvana;Grindr;air travel;isPartial
2022-01-01;0;0;34;15;12;False
2022-01-02;3;0;34;16;21;False
2022-01-03;0;0;28;53;17;False
2022-01-04;0;0;55;100;18;False
2022-01-05;2;0;42;88;26;False
2022-01-06;0;0;36;76;21;False
2022-01-07;0;0;33;38;22;False
2022-01-08;0;0;60;50;24;False
2022-01-09;0;0;51;46;19;False
2022-01-10;3;4;36;25;33;False
2022-01-11;0;0;43;22;27;False
2022-01-12;0;0;40;21;23;False
2022-01-13;0;0;33;21;34;False
2022-01-14;0;0;37;16;29;False
2022-01-15;0;0;45;30;23;False
2022-01-16;4;0;44;30;25;False
2022-01-17;4;0;46;18;22;False
2022-01-18;0;2;35;18;20;False
2022-01-19;2;0;28;17;25;False
2022-01-20;2;0;34;21;18;False
2022-01-21;2;0;37;15;13;False
2022-01-22;0;0;44;13;18;False
2022-01-23;0;0;42;21;23;False
2022-01-24;3;2;55;27;33;False
2022-01-25;0;0;30;8;17;False
2022-01-26;0;0;41;16;22;False
2022-01-27;0;0;36;19;24;False
2022-01-28;0;0;34;6;17;False
2022-01-29;0;0;41;14;20;False
2022-01-30;0;0;30;22;24;False
2022-01-31;0;0;26;16;28;False
