date;Essays;Russell T Davies;Drones (non-military);Jake Berry;air travel;isPartial
2022-01-01;31;19;0;0;34;False
2022-01-02;40;22;0;0;63;False
2022-01-03;42;11;0;0;51;False
2022-01-04;37;21;0;0;54;False
2022-01-05;58;5;0;0;77;False
2022-01-06;43;0;0;0;61;False
2022-01-07;55;0;0;4;63;False
2022-01-08;55;0;0;15;71;False
2022-01-09;50;0;0;0;55;False
2022-01-10;39;0;0;0;97;False
2022-01-11;50;0;0;0;79;False
2022-01-12;55;8;0;0;67;False
2022-01-13;33;0;0;36;100;False
2022-01-14;41;0;0;0;84;False
2022-01-15;14;0;0;0;66;False
2022-01-16;42;18;0;0;72;False
2022-01-17;56;7;0;0;65;False
2022-01-18;30;0;0;0;59;False
2022-01-19;63;0;0;23;74;False
2022-01-20;46;0;0;10;54;False
2022-01-21;21;26;0;0;38;False
2022-01-22;33;9;0;0;53;False
2022-01-23;39;0;0;0;69;False
2022-01-24;61;0;0;0;97;False
2022-01-25;56;13;0;0;49;False
2022-01-26;44;5;0;20;64;False
2022-01-27;36;0;0;11;71;False
2022-01-28;23;7;0;0;49;False
2022-01-29;19;0;0;0;60;False
2022-01-30;28;12;0;7;71;False
2022-01-31;38;0;0;0;82;False
