date;Kevin Spacey;Johnny Depp;Ansel Elgort;Baby Driver;air travel;isPartial
2022-01-01;30;100;7;16;18;False
2022-01-02;29;80;17;20;34;False
2022-01-03;19;65;8;17;27;False
2022-01-04;15;45;12;19;29;False
2022-01-05;10;73;11;4;41;False
2022-01-06;19;41;10;17;33;False
2022-01-07;20;54;9;14;34;False
2022-01-08;24;66;14;26;38;False
2022-01-09;48;61;13;28;30;False
2022-01-10;20;55;8;12;52;False
2022-01-11;7;48;8;10;42;False
2022-01-12;14;52;8;11;36;False
2022-01-13;8;47;8;8;54;False
2022-01-14;11;62;18;15;45;False
2022-01-15;30;67;8;23;35;False
2022-01-16;10;65;0;14;39;False
2022-01-17;11;58;5;8;35;False
2022-01-18;25;40;6;17;32;False
2022-01-19;7;50;8;8;40;False
2022-01-20;12;45;10;17;29;False
2022-01-21;22;57;4;11;20;False
2022-01-22;19;72;17;21;28;False
2022-01-23;18;72;7;15;37;False
2022-01-24;10;48;6;11;52;False
2022-01-25;11;34;6;10;26;False
2022-01-26;11;53;12;16;34;False
2022-01-27;14;39;14;19;38;False
2022-01-28;22;50;13;21;27;False
2022-01-29;56;55;11;26;32;False
2022-01-30;30;86;4;42;38;False
2022-01-31;14;44;11;14;44;False
