date;sean lock;the rolling stones;tom moore;antarctica;air travel;isPartial
2022-01-01;40;25;29;79;25;False
2022-01-02;38;55;5;77;47;False
2022-01-03;26;20;5;57;38;False
2022-01-04;29;20;8;51;40;False
2022-01-05;14;11;8;64;57;False
2022-01-06;0;17;9;80;46;False
2022-01-07;38;18;0;69;47;False
2022-01-08;36;21;0;61;53;False
2022-01-09;42;0;16;78;41;False
2022-01-10;20;23;10;88;72;False
2022-01-11;20;23;12;95;59;False
2022-01-12;17;16;4;75;50;False
2022-01-13;20;11;6;54;75;False
2022-01-14;32;50;8;65;62;False
2022-01-15;26;50;4;49;49;False
2022-01-16;24;45;10;68;54;False
2022-01-17;17;15;7;79;48;False
2022-01-18;15;27;5;70;44;False
2022-01-19;20;21;9;69;56;False
2022-01-20;13;21;21;53;40;False
2022-01-21;22;14;0;48;28;False
2022-01-22;24;19;6;58;40;False
2022-01-23;21;15;18;73;51;False
2022-01-24;20;20;8;72;72;False
2022-01-25;12;9;13;73;37;False
2022-01-26;28;11;11;42;48;False
2022-01-27;15;18;10;60;53;False
2022-01-28;28;8;5;51;37;False
2022-01-29;31;36;9;74;45;False
2022-01-30;23;30;17;50;53;False
2022-01-31;100;19;18;56;61;False
