date;Mötley Crüe;Disney+;Pamela Anderson;Fish;air travel;isPartial
2022-01-01;0;74;1;87;1;False
2022-01-02;0;70;0;75;1;False
2022-01-03;0;60;0;86;1;False
2022-01-04;0;50;0;62;1;False
2022-01-05;0;47;1;61;2;False
2022-01-06;0;47;2;60;1;False
2022-01-07;0;50;2;81;1;False
2022-01-08;0;64;1;91;2;False
2022-01-09;0;64;1;74;1;False
2022-01-10;0;48;1;65;2;False
2022-01-11;0;46;1;63;2;False
2022-01-12;0;51;1;63;1;False
2022-01-13;0;50;0;66;2;False
2022-01-14;0;48;1;74;2;False
2022-01-15;0;67;2;100;1;False
2022-01-16;0;68;0;79;2;False
2022-01-17;0;47;1;64;1;False
2022-01-18;0;44;0;61;1;False
2022-01-19;0;42;1;59;2;False
2022-01-20;0;44;2;61;1;False
2022-01-21;0;50;3;76;1;False
2022-01-22;0;65;2;81;1;False
2022-01-23;0;81;1;74;1;False
2022-01-24;0;52;1;67;2;False
2022-01-25;0;43;1;56;1;False
2022-01-26;0;47;2;58;1;False
2022-01-27;0;45;4;64;2;False
2022-01-28;0;53;3;89;1;False
2022-01-29;0;64;3;93;1;False
2022-01-30;0;59;3;79;2;False
2022-01-31;0;46;3;62;2;False
