date;kim jong-un;north korea;plastic pollution;emmanuel macron;air travel;isPartial
2022-01-01;6;71;4;12;19;False
2022-01-02;0;60;0;0;35;False
2022-01-03;0;51;0;2;29;False
2022-01-04;6;53;0;6;30;False
2022-01-05;6;78;9;28;43;False
2022-01-06;0;51;0;14;34;False
2022-01-07;0;52;10;4;35;False
2022-01-08;6;50;0;0;40;False
2022-01-09;0;47;3;8;31;False
2022-01-10;0;48;6;4;54;False
2022-01-11;0;49;9;4;44;False
2022-01-12;4;49;11;3;38;False
2022-01-13;0;100;7;8;56;False
2022-01-14;0;59;9;0;47;False
2022-01-15;3;54;5;3;37;False
2022-01-16;0;51;5;0;40;False
2022-01-17;0;46;7;4;36;False
2022-01-18;0;37;17;6;33;False
2022-01-19;0;37;13;5;42;False
2022-01-20;0;39;5;5;30;False
2022-01-21;0;46;5;3;21;False
2022-01-22;0;37;8;3;30;False
2022-01-23;5;32;6;8;38;False
2022-01-24;0;48;10;0;54;False
2022-01-25;0;37;0;5;28;False
2022-01-26;0;46;7;6;36;False
2022-01-27;0;36;7;0;40;False
2022-01-28;4;50;5;10;28;False
2022-01-29;3;48;0;0;34;False
2022-01-30;2;67;4;2;40;False
2022-01-31;0;43;8;3;46;False
