date;arthur labinjo-hughes;cambo oil field;far-right;moderna vaccine;air travel;isPartial
2022-01-01;15;0;9;89;26;False
2022-01-02;11;7;0;53;55;False
2022-01-03;19;0;0;68;53;False
2022-01-04;39;6;0;83;57;False
2022-01-05;22;0;0;96;72;False
2022-01-06;28;0;0;100;58;False
2022-01-07;11;0;0;91;64;False
2022-01-08;11;0;0;97;62;False
2022-01-09;22;0;0;73;45;False
2022-01-10;12;0;0;61;77;False
2022-01-11;7;0;12;71;63;False
2022-01-12;18;6;0;55;74;False
2022-01-13;8;0;0;74;74;False
2022-01-14;9;0;0;43;76;False
2022-01-15;14;0;5;44;63;False
2022-01-16;8;0;0;31;73;False
2022-01-17;0;0;0;33;52;False
2022-01-18;6;0;0;36;55;False
2022-01-19;15;0;0;24;73;False
2022-01-20;10;0;0;17;33;False
2022-01-21;9;0;0;37;23;False
2022-01-22;9;0;0;49;61;False
2022-01-23;13;4;0;22;68;False
2022-01-24;16;5;0;32;74;False
2022-01-25;14;0;0;35;43;False
2022-01-26;0;0;11;26;58;False
2022-01-27;0;0;0;16;48;False
2022-01-28;14;0;0;29;43;False
2022-01-29;19;0;0;27;46;False
2022-01-30;0;0;4;14;57;False
2022-01-31;10;19;0;18;76;False
