date;Alexandria Ocasio-Cortez;Nancy Pelosi;Film books;Louise Erdrich;air travel;isPartial
2022-01-01;9;0;16;19;34;False
2022-01-02;7;0;24;0;63;False
2022-01-03;5;15;9;0;51;False
2022-01-04;0;9;20;0;54;False
2022-01-05;0;5;22;0;77;False
2022-01-06;0;27;19;0;61;False
2022-01-07;0;8;20;0;63;False
2022-01-08;0;10;36;11;71;False
2022-01-09;5;8;20;0;55;False
2022-01-10;10;17;10;0;97;False
2022-01-11;7;32;13;0;79;False
2022-01-12;0;15;6;0;67;False
2022-01-13;0;25;30;0;100;False
2022-01-14;0;7;12;0;84;False
2022-01-15;0;6;36;16;66;False
2022-01-16;0;6;19;0;72;False
2022-01-17;0;22;24;7;65;False
2022-01-18;6;5;24;0;59;False
2022-01-19;4;0;14;0;74;False
2022-01-20;9;5;16;0;54;False
2022-01-21;0;13;16;0;38;False
2022-01-22;0;7;8;0;53;False
2022-01-23;0;17;15;8;69;False
2022-01-24;10;5;12;0;97;False
2022-01-25;9;9;6;0;49;False
2022-01-26;13;12;5;0;64;False
2022-01-27;0;15;20;6;71;False
2022-01-28;0;14;10;0;49;False
2022-01-29;9;6;8;6;60;False
2022-01-30;0;0;12;0;71;False
2022-01-31;0;0;35;0;82;False
