date;Baftas 2022;Baftas;Rebel Wilson;Dawn French;air travel;isPartial
2022-01-01;0;2;41;28;10;False
2022-01-02;0;0;35;15;19;False
2022-01-03;0;0;43;15;16;False
2022-01-04;3;0;26;5;16;False
2022-01-05;0;0;23;12;23;False
2022-01-06;0;0;21;9;19;False
2022-01-07;0;0;14;10;19;False
2022-01-08;2;0;19;9;22;False
2022-01-09;0;1;34;14;17;False
2022-01-10;1;5;21;12;29;False
2022-01-11;0;0;15;29;24;False
2022-01-12;6;10;17;17;20;False
2022-01-13;5;2;16;25;30;False
2022-01-14;0;3;100;8;25;False
2022-01-15;0;0;82;26;20;False
2022-01-16;0;3;27;12;22;False
2022-01-17;0;3;14;12;20;False
2022-01-18;0;0;14;8;18;False
2022-01-19;1;2;13;8;23;False
2022-01-20;0;1;19;9;16;False
2022-01-21;0;2;19;10;12;False
2022-01-22;0;2;15;13;16;False
2022-01-23;0;0;13;3;21;False
2022-01-24;1;0;8;5;30;False
2022-01-25;0;2;9;4;15;False
2022-01-26;0;4;12;7;19;False
2022-01-27;2;0;9;6;22;False
2022-01-28;0;0;10;11;15;False
2022-01-29;0;2;21;7;18;False
2022-01-30;0;2;13;4;22;False
2022-01-31;0;0;10;5;25;False
