date;Craft;Gianni Infantino;Fifa;Antarctica;air travel;isPartial
2022-01-01;32;0;89;5;1;False
2022-01-02;38;0;98;4;3;False
2022-01-03;36;0;88;3;2;False
2022-01-04;37;0;80;3;2;False
2022-01-05;35;0;80;4;3;False
2022-01-06;36;0;77;5;3;False
2022-01-07;33;0;79;4;3;False
2022-01-08;40;0;98;4;3;False
2022-01-09;39;0;100;5;2;False
2022-01-10;33;0;96;5;4;False
2022-01-11;35;0;81;6;3;False
2022-01-12;36;0;78;4;3;False
2022-01-13;34;0;85;3;4;False
2022-01-14;33;0;76;4;4;False
2022-01-15;41;0;95;3;3;False
2022-01-16;44;0;96;4;3;False
2022-01-17;35;0;84;5;3;False
2022-01-18;33;0;76;4;3;False
2022-01-19;30;0;70;4;3;False
2022-01-20;34;0;81;3;2;False
2022-01-21;32;0;95;3;2;False
2022-01-22;36;0;92;3;2;False
2022-01-23;42;1;87;4;3;False
2022-01-24;38;1;98;4;4;False
2022-01-25;33;0;69;4;2;False
2022-01-26;35;0;74;2;3;False
2022-01-27;32;0;74;3;3;False
2022-01-28;38;0;81;3;2;False
2022-01-29;37;0;92;4;3;False
2022-01-30;37;0;93;3;3;False
2022-01-31;35;0;82;3;4;False
