date;paris;united arab emirates;austria;schools;air travel;isPartial
2022-01-01;87;0;23;53;2;False
2022-01-02;95;0;17;85;3;False
2022-01-03;92;1;17;86;2;False
2022-01-04;89;0;20;92;2;False
2022-01-05;73;0;24;73;3;False
2022-01-06;73;0;18;62;3;False
2022-01-07;74;1;18;57;3;False
2022-01-08;84;0;19;42;3;False
2022-01-09;92;1;22;47;2;False
2022-01-10;80;1;17;69;4;False
2022-01-11;72;0;17;65;4;False
2022-01-12;71;0;15;60;3;False
2022-01-13;89;0;22;63;4;False
2022-01-14;77;1;15;52;4;False
2022-01-15;94;0;16;44;3;False
2022-01-16;100;1;22;47;3;False
2022-01-17;85;2;18;60;3;False
2022-01-18;74;1;15;57;3;False
2022-01-19;68;0;17;58;3;False
2022-01-20;72;1;19;56;2;False
2022-01-21;73;1;18;51;2;False
2022-01-22;86;1;18;42;2;False
2022-01-23;90;0;21;46;3;False
2022-01-24;89;1;21;63;4;False
2022-01-25;76;1;17;54;2;False
2022-01-26;77;1;13;61;3;False
2022-01-27;75;1;15;58;3;False
2022-01-28;75;0;12;52;2;False
2022-01-29;88;1;13;38;3;False
2022-01-30;91;0;16;40;3;False
2022-01-31;77;1;14;57;4;False
