date;Prisons;Anxiety;Joe Manchin;Endangered habitats;air travel;isPartial
2022-01-01;4;73;0;0;3;False
2022-01-02;6;78;1;0;5;False
2022-01-03;5;79;0;1;4;False
2022-01-04;7;79;1;1;5;False
2022-01-05;6;78;1;0;7;False
2022-01-06;7;75;0;0;5;False
2022-01-07;5;73;0;0;5;False
2022-01-08;4;68;1;0;6;False
2022-01-09;7;79;0;0;5;False
2022-01-10;6;88;1;0;8;False
2022-01-11;6;83;1;1;7;False
2022-01-12;6;77;0;0;6;False
2022-01-13;5;76;1;0;9;False
2022-01-14;4;66;0;1;7;False
2022-01-15;4;71;1;0;6;False
2022-01-16;6;81;1;0;6;False
2022-01-17;5;84;0;0;6;False
2022-01-18;6;79;1;0;5;False
2022-01-19;4;70;0;0;6;False
2022-01-20;4;67;1;0;5;False
2022-01-21;6;69;0;1;3;False
2022-01-22;4;64;1;0;5;False
2022-01-23;5;71;0;0;6;False
2022-01-24;6;100;1;0;8;False
2022-01-25;5;69;0;0;4;False
2022-01-26;5;76;1;1;5;False
2022-01-27;4;77;0;0;6;False
2022-01-28;5;68;0;0;4;False
2022-01-29;6;63;0;1;5;False
2022-01-30;5;71;0;0;6;False
2022-01-31;3;82;0;0;7;False
