date;Engineering general;Aerospace industry;University of Bath;University of Sussex;air travel;isPartial
2022-01-01;0;0;0;10;34;False
2022-01-02;0;0;41;0;63;False
2022-01-03;0;0;19;13;51;False
2022-01-04;0;0;27;25;54;False
2022-01-05;14;0;21;28;77;False
2022-01-06;4;0;21;10;61;False
2022-01-07;0;0;33;16;63;False
2022-01-08;0;0;17;18;71;False
2022-01-09;0;0;23;20;55;False
2022-01-10;4;6;31;32;97;False
2022-01-11;5;0;22;29;79;False
2022-01-12;8;0;30;23;67;False
2022-01-13;0;9;7;19;100;False
2022-01-14;9;0;25;17;84;False
2022-01-15;0;0;29;15;66;False
2022-01-16;0;0;25;16;72;False
2022-01-17;0;0;52;23;65;False
2022-01-18;5;0;45;18;59;False
2022-01-19;0;16;17;25;74;False
2022-01-20;0;0;25;31;54;False
2022-01-21;0;0;24;20;38;False
2022-01-22;10;0;29;12;53;False
2022-01-23;8;0;30;26;69;False
2022-01-24;4;9;32;34;97;False
2022-01-25;0;0;41;31;49;False
2022-01-26;0;0;53;33;64;False
2022-01-27;0;0;17;11;71;False
2022-01-28;0;0;25;41;49;False
2022-01-29;0;0;24;23;60;False
2022-01-30;0;4;32;15;71;False
2022-01-31;0;0;25;16;82;False
