date;Email;Great Barrier Reef holidays;Carmichael coalmine;Huddersfield;air travel;isPartial
2022-01-01;36;0;0;10;0;False
2022-01-02;40;0;0;13;1;False
2022-01-03;52;0;0;11;1;False
2022-01-04;81;0;0;12;1;False
2022-01-05;76;0;0;11;1;False
2022-01-06;78;0;0;11;1;False
2022-01-07;69;0;0;11;1;False
2022-01-08;46;0;0;15;1;False
2022-01-09;46;0;0;10;1;False
2022-01-10;90;0;0;11;1;False
2022-01-11;86;0;0;10;1;False
2022-01-12;80;0;0;9;1;False
2022-01-13;87;0;0;12;1;False
2022-01-14;71;0;0;11;1;False
2022-01-15;47;0;0;15;1;False
2022-01-16;49;0;0;11;1;False
2022-01-17;94;0;0;11;1;False
2022-01-18;81;0;0;10;1;False
2022-01-19;79;0;0;10;1;False
2022-01-20;87;0;0;10;1;False
2022-01-21;75;0;0;10;1;False
2022-01-22;43;0;0;14;1;False
2022-01-23;42;0;0;11;1;False
2022-01-24;100;0;0;11;1;False
2022-01-25;82;0;0;10;1;False
2022-01-26;80;0;0;11;1;False
2022-01-27;78;0;0;10;1;False
2022-01-28;77;0;0;18;1;False
2022-01-29;49;0;0;13;1;False
2022-01-30;44;0;0;11;1;False
2022-01-31;87;0;0;12;1;False
