date;JD Wetherspoon;Christian Porter;Sport TV;Cop15;air travel;isPartial
2022-01-01;2;0;82;0;8;False
2022-01-02;2;8;64;0;15;False
2022-01-03;3;0;37;0;12;False
2022-01-04;3;0;25;0;13;False
2022-01-05;3;0;32;0;18;False
2022-01-06;6;0;26;0;15;False
2022-01-07;2;0;43;0;15;False
2022-01-08;0;2;100;0;17;False
2022-01-09;0;0;89;0;13;False
2022-01-10;2;0;32;3;23;False
2022-01-11;2;0;40;0;19;False
2022-01-12;2;0;33;0;16;False
2022-01-13;0;0;32;0;24;False
2022-01-14;3;0;38;0;20;False
2022-01-15;3;0;91;2;16;False
2022-01-16;0;3;69;0;17;False
2022-01-17;2;6;34;0;16;False
2022-01-18;2;0;46;0;14;False
2022-01-19;0;0;64;0;18;False
2022-01-20;2;2;36;2;13;False
2022-01-21;0;0;41;0;9;False
2022-01-22;0;2;85;0;13;False
2022-01-23;2;0;60;0;17;False
2022-01-24;4;0;29;0;23;False
2022-01-25;3;0;25;0;12;False
2022-01-26;1;0;24;0;15;False
2022-01-27;0;0;20;2;17;False
2022-01-28;0;0;33;0;12;False
2022-01-29;0;0;67;0;14;False
2022-01-30;0;0;44;1;17;False
2022-01-31;0;0;23;0;20;False
